idx,_id,file,lineNumber,_label,code,P
0,0,app/main4.c,2,BLOCK,#include <stdio.h>,0.46491947770118713
1,1,app/main4.c,3,BLOCK,#include <stdlib.h>,0.4849000573158264
2,2,app/main4.c,4,BLOCK,#include <string.h>,0.5242924690246582
3,3,app/main4.c,6,BLOCK,char* stage_clean(char* in);,0.49014443159103394
4,4,app/main4.c,7,BLOCK,char* stage_route(char* in);,0.4337790608406067
5,5,app/main4.c,8,BLOCK,void stage_execute(char* cmd);,0.44890862703323364
6,6,app/main4.c,10,BLOCK,"int main(int argc, char** argv) {",0.4818093478679657
7,7,app/main4.c,11,BLOCK,char buf[256];,0.47292599081993103
8,8,app/main4.c,12,BLOCK,size_t n;,0.4832723140716553
9,9,app/main4.c,14,CALL,"memset(buf, 0, sizeof(buf));",0.47304823994636536
10,10,app/main4.c,15,CALL,"if (fgets(buf, sizeof(buf), stdin) == NULL) {",0.4956655502319336
11,11,app/main4.c,16,BLOCK,return 0;,0.4467117190361023
12,12,app/main4.c,17,BLOCK,},0.4676603078842163
13,13,app/main4.c,19,BLOCK,n = strlen(buf);,0.38936033844947815
14,14,app/main4.c,20,CALL,if (n > 0 && (buf[n - 1] == '\n' || buf[n - 1] == '\r')) {,0.3981298804283142
15,15,app/main4.c,21,BLOCK,buf[n - 1] = '\0';,0.3552232086658478
16,16,app/main4.c,22,BLOCK,},0.44923165440559387
17,17,app/main4.c,24,BLOCK,char* s1 = stage_clean(buf);,0.3840703070163727
18,18,app/main4.c,25,BLOCK,char* s2 = stage_route(s1);,0.3447338342666626
19,19,app/main4.c,26,CALL,stage_execute(s2);,0.48112109303474426
20,20,app/main4.c,27,BLOCK,return 0;,0.4664311110973358
21,21,app/main4.c,28,BLOCK,},0.4810253083705902
22,22,lib/process4.c,2,BLOCK,#include <stdio.h>,0.46160200238227844
23,23,lib/process4.c,3,BLOCK,#include <stdlib.h>,0.5162597894668579
24,24,lib/process4.c,4,BLOCK,#include <string.h>,0.4852049946784973
25,25,lib/process4.c,6,BLOCK,static char clean_buf1[256];,0.46493297815322876
