idx,prob,file,line,label,code
0,0.453838,mini/main.c,2,STMT,#include <stdlib.h>
1,0.551042,mini/main.c,4,STMT,extern void do_exec(char* cmd);
2,0.590368,mini/main.c,6,STMT,"int main(int argc, char** argv) {"
3,0.550932,mini/main.c,7,COND,if (argc > 1) {
4,0.443923,mini/main.c,8,ASSIGN,char* p = argv[1];
5,0.462554,mini/main.c,9,CALL:do_exec,do_exec(p);
6,0.469138,mini/main.c,10,STMT,}
7,0.461102,mini/main.c,11,RET,return 0;
8,0.374493,mini/main.c,12,STMT,}
9,0.458453,mini/sink.c,2,STMT,#include <stdlib.h>
10,0.633093,mini/sink.c,4,STMT,void do_exec(char* cmd) {
11,0.464644,mini/sink.c,5,CALL:system,system(cmd);
12,0.501810,mini/sink.c,6,STMT,}
